user,text,latitude,longitude
carabaopower,"'Syndics of the Drapers' Guild' by Rembrandt, 1662, Rijksmuseum. 

In here the works of? https://t.co/6xFBgGpGCq",52.3731,4.8922
damianpiasek,"I so miss you summer #amsterdam ? vsco HB1 #vsco #vscocam ??? @ Amsterdam, Netherlands https://t.co/4l8lnCZr4q",52.3731,4.8922
p2000amsterdam,A1 13119 Rit 8610 Amsterdam Nieuwezijds Voorburgwal 132 Hotel Utopia https://t.co/vFFRUEfgK3 #p2000,52.377325,4.8955919
DJMikeMendoza,"""Oh Hi, I go by the name of Michael. I'm a deejay of profession. I love my job and the people? https://t.co/eQFFiOyd1z",52.3661194,4.8991699
mavic_auditor,"?Blank walls are a shared canvas and we're all artists.? Carla H. Krueger

???

#amsterdam? https://t.co/BVQNxdDVt3",52.3731,4.8922
henriquetaipas,"Videos virais s?o perfeitos para marcas e organiza??es, pois geram de forma org?nica grande? https://t.co/bLGYeFchxl",52.3731,4.8922
shiko_m,"Fast track 
#travel #Amsterdam #Schipol @ Schipol Airport Amsterdam https://t.co/lhZyFVCF43",52.3731,4.8922
shiko_m,Fast tracking @ Schipol Airport Amsterdam https://t.co/rOr2dVFy6h,52.3731,4.8922
Map_Game,Where is Amsterdam on the map? Play the game at https://t.co/YtxkBEoBt2 #Amsterdam,52.3731,4.89222
women_ze,"Work with love ?????? (@ Red Light District / De Wallen in Amsterdam, Noord-Holland) https://t.co/10WLW6WBtg https://t.co/wfOPqmIu3I",52.3736604,4.89786386
bmortonn,"Throwback to summer, I miss laying out with Kelsie's thirsty? https://t.co/FlY4983zZc",52.3720703,4.8852501
TanaGimenez,"[Kaguabomba]
Sorry me convenci? esta @ Amsterdam, Netherlands https://t.co/UXTGttdxRC",52.3731,4.8922
p2000amsterdam,A1 13115 Rit 8586 Amsterdam Utrechtsestraat Prinsengracht https://t.co/qyJIKk4jwR #p2000,52.378931,4.8872896
ventura17_3,"""?s vezes n?o olhar para tr?s, ? o melhor caminho para atingir o sucesso."" ?? #reflexao? https://t.co/XD7OvlUPxu",52.3731,4.8922
p2000amsterdam,A1 13118 Rit 8572 Amsterdam Rusland 2 d https://t.co/XdJdlkzAa0 #p2000,52.369939,4.8967747
p2000amsterdam,A1 13118 Rit 8572 Amsterdam Rusland 2 d https://t.co/XdJdlkzAa0 #p2000,52.369939,4.8967747
st_guitars,Checking guitars before jam #djangoamsterdam #gypsyjazz #luthier #stguitars #manoushe @ Kapitein? https://t.co/hkGalZKywu,52.3695602,4.8937502
Map_Game,Travelling to Amsterdam or just twittering about Amsterdam? https://t.co/YtxkBEoBt2 #Amsterdam,52.3731,4.89222
_borntohula,#tbt to the pasty Irish fellas wrecking Amsterdam @ The Black Tiger Bar Amsterdam https://t.co/0uFYCm7Jh5,52.3739128,4.8998551
COVEREDBYLAILA_,"#200views #positivevibes #love #hello #cover #coveredbylaila
   ??? @ Amsterdam, Netherlands https://t.co/kXDFzUE5G5",52.3731,4.8922
PositiveLuke,My god this cat is so stoned. Totally comatose. #amsterdam @ 420 Caf? https://t.co/5YFlX3EEze,52.375782,4.8959384
justRosez,Weer een voor op de koelkast... @ A L'Elephant du Congo https://t.co/ETTDksfdOT,52.36649,4.89068
GomidesLukas,Just posted a photo @ Rembrandt Plein Amsterdam https://t.co/wWEDdMu04C,52.36617933,4.89602315
Felix_Odiott,"I'm at SoHo in Amsterdam, Noord-Holland https://t.co/QAlHvlfOhA",52.36634994,4.89104033
Map_Game,Can you find Amsterdam on the map? Just try it at https://t.co/YtxkBEoBt2 #Amsterdam,52.3731,4.89222
p2000amsterdam,A2 13105 Rit 8563 Amsterdam Johanneerhulststraat 123 https://t.co/rELP63NlNG #p2000,52.3738007,4.8909347
NetworkTown_,"Just posted a photo @ Amsterdam, Netherlands https://t.co/6lckThCGEt",52.3731,4.8922
p2000amsterdam,A1 13119 Rit 8561 Amsterdam Damrak 51 Dana https://t.co/eFqz2EPuce #p2000,52.3765604,4.897948
RexRico,"Big shout out to grandhoteldowntown for a friendly, professional, and excellent stay in? https://t.co/Tm6SECVKTl",52.3731,4.8922
p2000amsterdam,A1 13176 Rit 8560 Amsterdam Damrak 51 Dana https://t.co/z17Toc00J6 #p2000,52.3765604,4.897948
KarlMasters,Haciendo una visita a una muy buena amiga. @llj_ridderstaat #vakantie #mensen #jeviel @ de? https://t.co/ofXk3ddxVj,52.3732414,4.8938599
SergioChimeno,"Al final, de vernos las caras demasiado nos hemos cogido cari?o y? https://t.co/zaqbsyLPTt",52.3731,4.8922
justRosez,"@rawadvertisers new years fissa. Mooie plannen, mooie mensen, mooie dingen. ? @ A L'Elephant du? https://t.co/mmwSPnm2rx",52.36649,4.89068
dialoguscompany,"Een historisch gebouw dat dateert van 1488, huisvest in de Waag.
A historical building from? https://t.co/7HPA3Oo7Gd",52.37267238,4.9003881
CalvinKaiKu,The romantic canals of Amsterdam. @ Amsterdam Canals https://t.co/JBjqU1TMsT,52.37707559,4.89807167
KingAzour,Soon enough...? #TBT #Amsterdam #TheNetherlands ?????? #TB? https://t.co/ZD4ZvX5kSM,52.3731,4.8922
rickipy,"I'm at Coco?s Outback in Amsterdam, Noord-Holland https://t.co/bzUd0YyE4G",52.36555697,4.89579534
gulenyildirim,"#g?lersemd?nyag?ler ???? 
#her?eybendeba?larbendebiter??? @? https://t.co/rOTSOdxS3x",52.37707559,4.89807167
AraikGingnagel,Inmiddels weet ik een hoop meer over haar beroep.,52.37716047,4.89499181
IZKALOTZIN,"Amsterdam visit #4 @ Amsterdam, Netherlands https://t.co/YpmU33WQeS",52.3731,4.8922
markvdheijden,"""The greatest adventure is what lies ahead."" - J.R.R. Tolkien. (This picture was taken by? https://t.co/zkfSuFykMi",52.3731,4.8922
TrendsNederland,#javhj16 is nu trending in Netherlands https://t.co/MxE9jII4QV,52.3738,4.89093
kartenquizde,Wo liegt Amsterdam? https://t.co/RqCSp3JI8C #Amsterdam #quiz,52.3738,4.89093
Lauravazva,"me estaba rayando en que escribir aqu? pero en resumen que quiero volver ah? sea c?mo sea, que? https://t.co/pnpt5Qlfok",52.36694444,4.89333333
ulgmer,UlgMer (@ The Bulldog Coffeeshop in Amsterdam) https://t.co/RJzyacUnnS,52.37351782,4.89745361
classicbyte,#CEMEC. lots of ideas! How to select them into a successful collaborative travelling exhibition? https://t.co/QHhzcdlKGS,52.370107,4.893545
p2000amsterdam,A1 13106 Rit 8545 Amsterdam Wethouder Ed. Polakstraat 46 https://t.co/TvB7VBiKPu #p2000,52.3738007,4.8909347
TrendsNederland,'loeki' en 'aboutaleb' zijn nu trending in Netherlands https://t.co/MxE9jII4QV,52.3738,4.89093
krizy_t,#europe #netherlands #holland #amsterdam #canal #dutch #bikes #amsterdamcity #hollandroden? https://t.co/27bnretBCd,52.3731,4.8922
SercanHaci,"I'm at Club Smokey in Amsterdam, Noord-Holland https://t.co/FcJbGhJy1H",52.36595583,4.89612608
TrendsNederland,#demarathon is nu trending in Netherlands https://t.co/MxE9jII4QV,52.3738,4.89093
TrendsNederland,"Lex Immers, @immerslex is nu trending in Netherlands https://t.co/MxE9jII4QV",52.3738,4.89093
RNK83,"I'm at Lime in Amsterdam, Netherlands https://t.co/wKi6LhCr9m https://t.co/FI1ybTgvQ5",52.3739093,4.90018398
p2000amsterdam,"P 1 Oms Melding (+Inc,net: Reg.Inmeld+) Hotel Beursstraat , Beursstraat 7 Amsterdam [ ASN ] https://t.co/hqhzTqblPa #p2000",52.374608,4.8967715
TrendsNederland,"Luke Hemmings, @luke5sos is nu trending in Netherlands https://t.co/MxE9jII4QV",52.3738,4.89093
TrendsAmsterdam,#theisland is nu trending in #Amsterdam https://t.co/ATkPHcEVQA,52.3738,4.89093
netevenleuker,@WJB219 mooi.,52.36268064,4.90157617
